item,11F(MARY),11H(ANTONY ABBOT),11H(ANTONY OF PADUA),11H(AUGUSTINE),11H(DOMINIC),11H(FRANCIS),11H(JEROME),11H(JOHN THE BAPTIST),11H(JOHN),11H(JOSEPH),11H(PAUL),11H(PETER),11H(SEBASTIAN),11H(STEPHEN),11HH(BARBARA),11HH(CATHERINE),11HH(MARY MAGDALENE),John Baptist - Child,John Baptist - Dead,set
0007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0007c0a4-31fe-4a8c-b23f-ee79528c96cb_970b7762-07c3-4586-a61c-b0fdd3f41828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
004bc224-6fc0-4182-9c58-d0c06a709a52_d7a0fd88-8b6b-4036-be1e-349db4843105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0055a585-4c6e-48ae-935a-0ac083d819ef_ee936d55-d406-45da-ab04-af38ce330512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
00a64491-949b-4ee2-9f82-10187dee5b38_7d2d5be0-69ef-42b6-883b-b9a55ece0708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
00c5f621-6c94-4285-b2bf-05a3a776393d_d85c770b-ed53-4eef-b8e2-a0400e06e9e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
0102fba8-2291-4344-b509-f1f36ce7ecef_fc905330-5786-4396-bc20-eb1d6617c5a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
012ccab6-88c8-408f-a34a-97841523b34f_be3b0937-5872-4908-b2ff-3210e0fcd483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
016a0646-726d-4f27-9d80-0d177895b49b_7a204f9c-7422-4412-9c0f-8b79b9f4f1b4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0170fd7b-133a-4fbc-a6d2-6d145a5a5942_2d7baaf4-be58-4dac-ae04-a8befdd4311b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0185868a-06c9-461a-bbdc-6c08bcd03140_2d5edb2f-1cfe-43a6-9ae2-091124527f3f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
01bc3c3c-2265-4ccd-93f4-601d1501745d_952cd342-7f95-45af-8b48-ba70c9726589,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,train
01caef23-84e4-4dfe-b32b-02c62df495a0_119d2169-4739-411b-bfd5-f0f6143a6715,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
026b1095-74ca-4f1f-ba51-6fdf7aab2e83_27b0f70c-ea9e-49f6-b617-e924b32e1817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
02a3157c-35e3-4567-8170-e7c2562b805c_2ec527c1-9eab-4027-9a67-20216276a777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
02ec1dc0-407a-413c-b02f-7082abedcfc4_074bca21-114d-4921-b22d-e6e41727e7b6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,test
02f25232-3c1b-4beb-ac45-848e3db1866d_6c49948a-60b1-4619-a51f-680a056e8ab0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
03120d94-f15c-481f-90ae-3492e9133563_135ee705-d22f-4fa4-8473-07a6f05d4639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
032ed98d-94e2-4c4c-9d1e-b775d2bf0610_7e3988c4-9d42-4bf4-b028-c14a6cc11e62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
034011e2-0773-4f0c-ab86-7d5cf2723a25_c8ebf918-5309-4a30-80fe-0704165800cb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,train
042ac295-c7c8-44fb-8a5a-2bba23b4da9b_3ae1d3ea-ce68-420f-bf99-c2cc9874b57b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
042d366f-325b-4aef-8824-d7b4b04e3f4f_ae0c8efe-bc7c-4715-86ad-74a4dbc86c1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
04364e00-1f4c-4163-b55d-ebf17b5d75b6_88e72468-f0f2-4db4-a450-02eeb4c48e23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0467e8eb-c066-4052-b257-b5cbccd8c17a_bd4f41aa-4a79-489b-9c49-6e5f21ab9293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
04860923-86fe-45e9-b2c9-67a93df3cafd_ad63f4b1-8d70-481f-b513-0e35de5dbd47,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,train
0506ab4a-e80d-4ca5-aef2-b70e2966eb37_09dd1eb5-a30d-4d20-bbd8-2acc5ef6b9d1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
053cf9ee-2552-4f17-94f2-787ad24cd06f_c6668c63-2a99-44ad-8f46-b96cd59508a5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0679c614-9a3c-400e-9e40-038d2df7a644_eeede9a8-cd62-44c9-b45d-612a6c867952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,train
06a0c7a4-a6a1-40c4-b677-9773bf813681_4c0a1898-752e-4c9a-abd3-224370f8c740,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
06c4c300-1fa8-48d7-b63b-047c64882626_51488e81-99b1-4814-bcca-f53688da8f2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,test
0719d982-abfe-40eb-836c-4285f218bd31_3d00457b-5ee8-40aa-a4b9-b18c93ea7178,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,train
07fbc15b-c14d-44be-b8f9-2df1278f9a27_c3003d23-a28f-4129-a382-49a4eb8a2d9d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
0806d39a-48fb-4d78-9761-178a1b235636_642b6845-4172-4025-a857-1af9ec5a0e10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,val
0811008b-2ff8-480d-96a9-61412fe663cd_056a17d2-1b66-421b-bc23-a4285174be6b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,train
086bb723-2895-4dc2-ad04-4da2750c6dca_f40e2e33-0d9e-4b13-a03f-10f1934e7a32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,train
08757315-ea12-4c06-82c6-2919af4b5fa1_fded734a-4252-487a-8337-6d1577b3f9e0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
08931c7e-6c21-4823-ae76-6479d29f1248_9c7a55e3-20e5-4061-8144-f5fc249aa163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,train
