,text
0,"THE VIRGIN MARY AS THRONE
"
1,"In its day, the mosaic pictured above was revolutionary"
2,"Before the 5th century portraits of Christ normally pictured him as an adult, flanked by saints and holding a book or scroll (example)"
3,"But in the 5th century and then much more frequently in the 6th, an image type develops in which he is a child held by his mother on her knee or, much more often, her lap"
4,"The mother is herself pictured sitting on a throne with a red velvet cushion, and the child holds a scroll or book.
"
5,Why did this happen? Visualizing the Virgin Mary on a throne was not unprecedented
6,"That is how she was often portrayed in the earliest images of the Adoration of the Magi (example), and in the literature as early as the 3rd century she was referred to as the ""true cherubic throne"" of Christ.1 But the major impetus for re-imagining the portrayal of Christ as a child on her lap came after the Council of Ephesus in 431, which settled a bitter dispute over whether it was proper to refer to her as Theotokos – meaning literally, ""God-bearer"" but effectively Mother of God"
7,"Indeed it was proper, the Council decreed: because Christ's divine and human natures are inseparable, the child Mary bore was both God and man.2 As a consequence of this proclamation, the sponsors of orthodox Christian art developed new forms such as the mosaic we see above.
"
8,"In the earliest examples, according to Shepherd (93), the child continued to be flanked by saints and Mary was dressed as ""a woman of the ordinary classes in late antiquity."" But by the 6th century she is pictured in a mantle of imperial purple pulled up to form a veil over a white cap, as we see in the mosaic above and in this one"
9,"Her shoes in these images are red, a style favored by the Emperor and other persons of high status in the Byzantine court.
"
10,In these 6th-century images the saints have been displaced by angels
11,"Like the child, these are dressed in the costume of the day: an inner tunic, an outer tunic, and a pallium draped over the left shoulder"
12,"The child usually holds a scroll in his left hand and lifts his right in what Shepherd calls ""the gesture of delivering the Law"" (ibid.).
"
13,"DEVELOPMENTS IN THE WEST
"
14,"In the West this iconographic type morphs into a variety of forms.
"
15,"The Throne of Wisdom
"
16,"One type popular in the West in the 12th century was the ""Throne of Wisdom"" sculpture, as in the first picture at right"
17,"Mary sits on a throne and holds the Christ Child on her lap, her right hand on his breast or torso"
18,In earlier versions the throne has no back
19,"In turn, the child holds a book on his lap"
20,"In medieval thought Christ is himself Wisdom, the character who speaks and is praised in the Bible's ""wisdom books"" (Proverbs, Wisdom, and Sirach)"
